,0,1,2,3,4
0,"0,24798027","-0,47410348","0,33336294","-0,02641286","-0,05264272"
1,"0,39480463","-0,3702741","0,20851845","0,07156188","0,0526223"
2,"0,16531107","-0,31653485","0,17057747","0,095575795","-0,078366995"
3,"-0,019067071","-0,27434713","0,41290322","-0,016267395","-0,06470645"
4,"0,36148563","-0,33923438","0,2562431","0,016220089","-0,024635894"
5,"-0,059394147","-0,4605371","0,1503982","0,13119686","0,023613796"
6,"0,23624407","-0,32508373","0,23507914","-0,038233884","-0,052870937"
7,"-0,031152686","0,03005357","0,5747907","0,029866222","-0,06741328"
8,"0,076653235","0,03592902","0,058393523","0,044826612","-0,017639998"
9,"-0,21968694","-0,12362241","0,37831488","0,13379745","-0,016431842"
10,"0,20674329","-0,076721676","-0,511233","-0,03642001","-0,08599735"
11,"0,3554323","0,08392989","-0,8388341","0,022127094","-0,018888941"
12,"0,18175927","-0,024834769","-0,34997782","0,08489922","0,04056978"
13,"0,10561521","0,19417828","-0,1573524","-0,07544434","-0,048709463"
14,"0,15796353","0,25561634","-0,7192193","0,059552804","-0,08830979"
15,"0,011223322","0,37979826","-0,32090136","0,10197076","-0,030635953"
16,"-0,23816745","0,19873564","-0,45488313","0,10262997","-0,0035605137"
17,"-0,05031399","0,2640388","-0,33913365","0,07513888","-0,092962235"
18,"-0,1069361","0,41994372","-0,49334732","-0,037995018","-0,012363444"
19,"-0,39023823","0,28724328","0,121118195","0,020220883","0,011425545"
20,"-0,3985677","0,439056","0,16715293","0,015830023","-0,031138994"
21,"-0,6785506","-0,05505046","1,0294623","-0,053042002","-0,037126888"
22,"-0,73512846","0,19407028","0,88490987","0,14175057","-0,034661658"
