,0
0,"-59,31189751988079"
1,"-58,84057472953263"
2,"-58,009719799726646"
3,"-55,28686882928362"
4,"-53,9457994587865"
5,"-52,371195222397695"
6,"-52,42295275497759"
7,"-52,627370984946374"
8,"-52,68604618793146"
9,"-53,80725975376832"
10,"-55,22424492824084"
11,"-56,55886924711087"
12,"-58,40105867613666"
13,"-56,131826969231874"
14,"-52,696592498466124"
15,"-44,070381034337274"
16,"-34,519517074057966"
17,"-24,567534912252537"
18,"-16,77731922007164"
19,"-10,355662586153365"
20,"-4,620538532796626"
21,"-1,3055155654440176"
22,"2,124467975546321"
